	Data	shape	TL	piA	piC	piG	piT	ntaxa	nsites	rAC	rAG	rAT	rCG	rCT	rGT
	44	6.784563	0.647004	0.280779	0.228313	0.238061	0.252847	12	474	0.154373	0.183426	0.155610	0.198133	0.135503	0.172956
	45	4.069195	0.193135	0.214921	0.262546	0.263808	0.258725	4	1222	0.171276	0.177427	0.172033	0.155215	0.161351	0.162697
	46	20.528866	1.979137	0.250830	0.264538	0.225128	0.259504	16	1272	0.162181	0.146340	0.148154	0.196422	0.192421	0.154481
	47	4.216128	0.777427	0.261688	0.287072	0.230165	0.221075	13	3334	0.165452	0.156100	0.189985	0.164945	0.179454	0.144064
	48	4.436850	0.969571	0.262791	0.272098	0.228350	0.236761	10	1978	0.157940	0.155459	0.169700	0.153484	0.176005	0.187413
	49	0.453907	1.855126	0.222256	0.282247	0.260980	0.234517	18	320	0.167365	0.154374	0.141612	0.167813	0.160292	0.208544
	50	4.928060	1.422222	0.249197	0.231992	0.270888	0.247924	13	4654	0.161766	0.162706	0.156955	0.184171	0.188048	0.146354
	51	1.684548	1.048551	0.236796	0.254879	0.258872	0.249453	11	128	0.200026	0.195062	0.156486	0.139276	0.146155	0.162994
	52	6.128154	1.631879	0.263129	0.252578	0.266433	0.217860	14	1766	0.152856	0.164151	0.198815	0.156498	0.179454	0.148226
	53	3.576324	2.011093	0.276486	0.255329	0.222721	0.245464	14	4268	0.177534	0.172830	0.157777	0.166025	0.145040	0.180794
	54	0.803114	1.177141	0.276182	0.258481	0.249983	0.215354	8	1734	0.135568	0.192066	0.179481	0.159291	0.150496	0.183098
	55	3.422314	0.770752	0.252654	0.263634	0.217597	0.266115	8	110	0.187207	0.181852	0.144875	0.165464	0.145429	0.175173
	56	9.209347	1.213761	0.263065	0.212859	0.274808	0.249268	11	4820	0.165081	0.187109	0.136670	0.166310	0.193093	0.151737
	57	6.087124	1.629789	0.264030	0.253596	0.239472	0.242901	16	2530	0.167328	0.169406	0.148909	0.170282	0.184528	0.159547
	58	2.068926	1.186831	0.226646	0.245802	0.256120	0.271432	9	2614	0.176699	0.185567	0.148978	0.173364	0.174293	0.141098
	59	11.636037	1.894447	0.290119	0.232691	0.214439	0.262752	19	2256	0.193201	0.149487	0.133802	0.167347	0.166660	0.189503
	60	2.829481	1.740222	0.244548	0.236884	0.288757	0.229811	19	2440	0.148313	0.175454	0.159579	0.171035	0.169333	0.176285
	61	2.467788	0.983582	0.242979	0.255925	0.242358	0.258738	8	4312	0.167158	0.166309	0.161733	0.171436	0.158552	0.174813
	62	4.516836	2.071224	0.282835	0.221762	0.224442	0.270960	15	4754	0.164535	0.161204	0.160198	0.168660	0.159970	0.185433
	63	4.302294	0.584098	0.308683	0.214168	0.240859	0.236291	7	2396	0.168932	0.151931	0.162525	0.173469	0.170103	0.173040
	64	11.776280	2.086963	0.262350	0.242926	0.241861	0.252862	19	4910	0.156074	0.152980	0.157115	0.199787	0.153155	0.180889
	65	1.305370	1.531444	0.222396	0.243475	0.252022	0.282107	19	2112	0.193075	0.154454	0.142441	0.163820	0.156107	0.190103
	66	8.667746	0.694883	0.248883	0.240043	0.250868	0.260206	5	4148	0.167525	0.163397	0.181648	0.172288	0.148697	0.166446
	67	0.758389	0.557461	0.258241	0.224969	0.251081	0.265709	5	4768	0.160656	0.143054	0.180545	0.166271	0.170611	0.178863
	68	1.382502	2.329889	0.260070	0.258656	0.229690	0.251584	14	4108	0.166946	0.207199	0.160188	0.157277	0.165594	0.142796
	69	0.826481	1.300747	0.231290	0.251376	0.281062	0.236271	13	3736	0.178193	0.159319	0.163904	0.175294	0.146498	0.176792
	70	5.858245	1.624937	0.225046	0.241925	0.262027	0.271002	11	2334	0.169970	0.197484	0.141601	0.190040	0.135306	0.165598
	71	1.891056	1.637366	0.260188	0.282019	0.228772	0.229020	16	1462	0.175601	0.156357	0.162507	0.178485	0.151512	0.175539
	72	2.561560	1.051501	0.237965	0.198820	0.304702	0.258513	13	2346	0.178390	0.175939	0.151720	0.149068	0.197854	0.147028
	73	4.696274	0.959645	0.224261	0.238993	0.266383	0.270363	11	1982	0.140553	0.166979	0.168354	0.205790	0.154623	0.163699
	74	6.772782	0.610598	0.215668	0.292551	0.246392	0.245388	7	3360	0.156464	0.173924	0.146592	0.163504	0.187410	0.172105
	75	5.399116	0.962769	0.236992	0.233462	0.280846	0.248699	5	1010	0.175998	0.171544	0.178440	0.159512	0.142444	0.172062
	76	3.241561	0.955546	0.232636	0.293651	0.251319	0.222395	8	2120	0.159269	0.176341	0.166763	0.162991	0.152329	0.182308
	77	2.592371	0.603465	0.230212	0.267960	0.285118	0.216710	5	1774	0.160940	0.160713	0.193617	0.157313	0.162592	0.164826
	78	4.651689	1.649236	0.239411	0.270704	0.248387	0.241497	20	4266	0.162664	0.164818	0.168221	0.166638	0.159874	0.177786
	79	1.463274	1.765272	0.243997	0.239598	0.223764	0.292641	18	356	0.151135	0.166448	0.187508	0.158534	0.185707	0.150669
	80	4.895621	1.011192	0.257057	0.275221	0.270323	0.197399	10	3626	0.162801	0.171897	0.163723	0.177554	0.146198	0.177827
	81	5.413927	1.705971	0.262191	0.242593	0.222332	0.272884	18	1130	0.141127	0.182403	0.162911	0.148588	0.191475	0.173497
	82	5.566387	2.400027	0.210628	0.247332	0.273998	0.268042	20	2342	0.193167	0.158250	0.150440	0.159078	0.159931	0.179135
	83	6.494586	1.714526	0.227671	0.261972	0.242332	0.268025	16	470	0.143945	0.165288	0.190192	0.161359	0.193807	0.145409
	84	0.719423	0.674330	0.214606	0.285072	0.281168	0.219155	10	1642	0.163995	0.175945	0.140772	0.187978	0.155660	0.175650
	85	5.847256	1.812360	0.272019	0.235760	0.242436	0.249785	17	3684	0.154287	0.178210	0.165514	0.161749	0.184252	0.155988
	86	3.334882	0.714890	0.248785	0.246142	0.262535	0.242538	7	2534	0.190035	0.144636	0.179315	0.153574	0.168822	0.163617
	87	3.058721	1.069345	0.275776	0.218711	0.269696	0.235816	6	3146	0.168805	0.169666	0.127743	0.167441	0.166539	0.199807
	88	4.810071	0.351479	0.242673	0.237672	0.260421	0.259235	7	996	0.177303	0.174937	0.160586	0.181969	0.141445	0.163760
	89	5.211699	1.145529	0.273919	0.229539	0.255609	0.240933	11	2688	0.167185	0.158634	0.186662	0.132614	0.177921	0.176983
	90	8.739028	0.133690	0.296359	0.220486	0.259807	0.223347	4	4254	0.151935	0.143348	0.184112	0.182506	0.152589	0.185509
	91	7.345546	0.955679	0.235853	0.233378	0.263281	0.267489	9	822	0.156009	0.163112	0.198096	0.168184	0.148968	0.165632
	92	0.911748	0.484261	0.264040	0.235651	0.303438	0.196871	6	286	0.155202	0.164292	0.173385	0.165051	0.146557	0.195513
	93	7.044332	0.533760	0.250457	0.228860	0.270785	0.249898	9	1220	0.157866	0.180607	0.162032	0.173471	0.146078	0.179947
	94	4.935529	0.635240	0.245949	0.259180	0.244151	0.250720	7	852	0.161571	0.207076	0.148994	0.156563	0.163483	0.162314
	95	5.149794	0.250936	0.226105	0.302262	0.258799	0.212834	4	2176	0.159386	0.187978	0.162795	0.171030	0.163036	0.155774
	96	3.803061	2.667637	0.240785	0.233336	0.272206	0.253673	20	2418	0.149095	0.142832	0.172920	0.155960	0.199479	0.179713
	97	5.045618	2.338174	0.239565	0.278050	0.244244	0.238141	18	2748	0.163641	0.161167	0.174889	0.147167	0.169827	0.183308
	98	1.430793	0.571180	0.242715	0.241560	0.280098	0.235627	4	3644	0.170134	0.152080	0.161811	0.171904	0.186184	0.157887
	99	14.443952	1.462342	0.261400	0.273429	0.261220	0.203952	13	3608	0.176719	0.163615	0.179896	0.164764	0.140273	0.174733
	100	3.309763	0.409129	0.254118	0.252491	0.231447	0.261944	5	1792	0.174334	0.151563	0.167098	0.161124	0.173956	0.171924
	101	7.789190	0.557236	0.248272	0.249971	0.224523	0.277235	7	4720	0.170167	0.178208	0.164514	0.152979	0.187446	0.146686
	102	1.401097	1.156077	0.264488	0.252428	0.250700	0.232384	13	3606	0.150117	0.186759	0.162843	0.174801	0.168085	0.157394
	103	1.700113	0.336997	0.233647	0.277739	0.254446	0.234168	6	4278	0.144453	0.175763	0.159245	0.184779	0.142794	0.192965
	104	5.540773	0.430820	0.227765	0.229371	0.261250	0.281614	5	1936	0.157669	0.189131	0.149365	0.150722	0.179622	0.173490
	105	7.208710	1.542955	0.255136	0.245073	0.257019	0.242772	13	3628	0.151873	0.156321	0.181499	0.169222	0.147982	0.193104
	106	3.771389	0.920443	0.267524	0.263125	0.248503	0.220847	20	4450	0.153160	0.177486	0.159200	0.178221	0.160660	0.171272
	107	11.420957	1.588861	0.259039	0.257506	0.260727	0.222729	13	3806	0.175390	0.159019	0.189963	0.155972	0.147225	0.172430
	108	3.794933	0.365781	0.265111	0.285040	0.211243	0.238605	6	3430	0.168878	0.148318	0.177057	0.166543	0.156906	0.182299
	109	4.257615	0.774455	0.243937	0.232636	0.256945	0.266482	11	4008	0.156198	0.153685	0.159592	0.194654	0.160133	0.175739
	110	3.462632	1.217257	0.233831	0.268128	0.258502	0.239538	10	2342	0.161924	0.164023	0.173563	0.169046	0.175562	0.155882
	111	10.684718	1.628752	0.226526	0.265449	0.245453	0.262572	13	3060	0.150595	0.145053	0.150723	0.208274	0.149930	0.195425
	112	3.697727	1.105672	0.261040	0.223617	0.255672	0.259671	12	930	0.145764	0.197758	0.132623	0.179404	0.180897	0.163554
	113	2.303041	0.952366	0.242771	0.219381	0.269456	0.268393	10	328	0.176135	0.177851	0.162941	0.148576	0.170578	0.163918
	114	2.768803	1.059094	0.259501	0.240248	0.243708	0.256543	9	2054	0.142542	0.177346	0.188415	0.176970	0.168165	0.146561
	115	2.976458	0.838103	0.270867	0.296040	0.223415	0.209678	12	2004	0.157295	0.166452	0.172529	0.191070	0.172273	0.140381
	116	4.719021	1.702839	0.275907	0.259366	0.240492	0.224234	19	2312	0.191465	0.159011	0.128803	0.180251	0.172161	0.168309
	117	5.703711	1.547621	0.266530	0.212125	0.289393	0.231953	11	1066	0.191925	0.149344	0.173105	0.153294	0.156971	0.175362
	118	1.789695	1.231361	0.265531	0.207990	0.280486	0.245992	16	4518	0.143986	0.140854	0.180243	0.200088	0.174071	0.160758
	119	4.234908	0.120125	0.275039	0.243925	0.283809	0.197226	4	3396	0.160356	0.189895	0.154665	0.184636	0.147436	0.163013
	120	1.973484	0.608427	0.236106	0.231235	0.263898	0.268761	12	2548	0.156995	0.163659	0.175694	0.168604	0.153683	0.181365
	121	4.211298	2.073662	0.286934	0.257649	0.231369	0.224048	17	922	0.147073	0.188959	0.212887	0.131884	0.173879	0.145319
	122	6.340626	0.615338	0.212495	0.247146	0.283371	0.256988	7	3120	0.194635	0.200570	0.147548	0.131162	0.133693	0.192392
	123	7.034944	0.932820	0.288380	0.220954	0.255622	0.235043	11	1216	0.151759	0.160141	0.196164	0.135907	0.176354	0.179675
	124	1.146169	1.594797	0.265981	0.218349	0.247512	0.268158	19	882	0.187711	0.172964	0.181339	0.128958	0.171628	0.157399
	125	6.097480	0.219224	0.242611	0.252630	0.257821	0.246938	4	3762	0.141644	0.196483	0.176665	0.153094	0.168676	0.163438
	126	5.487448	0.540275	0.235949	0.296829	0.211060	0.256162	5	2876	0.158782	0.140943	0.176268	0.158909	0.181229	0.183867
	127	3.365326	1.644923	0.245630	0.249798	0.230712	0.273860	12	1088	0.154824	0.170232	0.195138	0.184586	0.144515	0.150705
	128	1.600933	1.086339	0.269709	0.239826	0.227194	0.263271	6	794	0.154935	0.156774	0.160084	0.169989	0.165498	0.192720
	129	3.910511	1.376387	0.308092	0.239736	0.230801	0.221371	10	4294	0.166424	0.153531	0.180662	0.159004	0.180438	0.159941
	130	3.329884	0.633806	0.262962	0.256503	0.217499	0.263036	5	104	0.147336	0.178040	0.162817	0.185565	0.147226	0.179016
	131	0.333033	0.448082	0.254050	0.280841	0.230371	0.234738	5	1686	0.147899	0.161080	0.167114	0.155823	0.199965	0.168117
	132	4.143088	0.658461	0.235383	0.256997	0.247885	0.259734	10	2316	0.165996	0.156099	0.183904	0.178840	0.166679	0.148482
	133	2.480547	2.007431	0.295660	0.209574	0.260646	0.234120	18	370	0.168508	0.159808	0.140755	0.193470	0.162666	0.174793
	134	16.652670	1.665066	0.268799	0.262552	0.237366	0.231283	17	2258	0.148305	0.139742	0.164710	0.194433	0.198062	0.154747
	135	2.595670	0.807446	0.245906	0.265030	0.248630	0.240434	13	2560	0.169562	0.191640	0.143393	0.179976	0.151351	0.164078
	136	5.198931	1.117653	0.271861	0.265125	0.238183	0.224832	12	2356	0.172663	0.141516	0.177200	0.156777	0.155957	0.195887
	137	10.753401	1.107594	0.252284	0.254726	0.266541	0.226449	13	618	0.160097	0.167313	0.176634	0.159932	0.165795	0.170229
	138	5.214182	1.145540	0.249575	0.235588	0.260906	0.253930	12	4660	0.164283	0.175310	0.166462	0.156284	0.164692	0.172970
	139	4.559381	0.260037	0.226152	0.258431	0.239921	0.275495	5	1170	0.155503	0.151889	0.171759	0.167872	0.211278	0.141699
	140	8.566928	1.598141	0.243687	0.252375	0.230276	0.273662	9	364	0.174701	0.184242	0.154949	0.157372	0.162461	0.166275
	141	8.004975	0.293508	0.257956	0.280166	0.230648	0.231231	4	1922	0.152568	0.167158	0.164277	0.186938	0.181683	0.147377
	142	12.273188	0.799569	0.219076	0.281882	0.243041	0.256001	8	4352	0.169858	0.160205	0.179012	0.179588	0.144607	0.166730
	143	7.139474	1.065132	0.259821	0.250682	0.244354	0.245142	12	4302	0.157858	0.159151	0.184758	0.183578	0.147790	0.166864
	144	4.459316	0.892771	0.243132	0.229195	0.262179	0.265494	8	4934	0.159273	0.169503	0.157478	0.177931	0.152453	0.183362
	145	14.400406	1.047101	0.240877	0.263988	0.264658	0.230477	14	4030	0.190378	0.161001	0.135599	0.180476	0.168201	0.164345
	146	9.883330	0.389262	0.248364	0.221454	0.269757	0.260425	5	1726	0.174461	0.166500	0.162708	0.169539	0.165212	0.161580
	147	12.137812	1.037588	0.239983	0.247506	0.257472	0.255039	10	582	0.164732	0.152103	0.171696	0.166384	0.182832	0.162252
	148	4.864718	0.924205	0.248313	0.253041	0.219533	0.279114	12	4764	0.179013	0.147835	0.147006	0.162347	0.188950	0.174850
	149	13.446645	0.391009	0.215088	0.267470	0.265161	0.252281	6	1912	0.199898	0.173090	0.179667	0.150500	0.146526	0.150318
	150	10.938308	0.254062	0.258983	0.284268	0.227848	0.228902	6	4758	0.167582	0.165121	0.178455	0.156485	0.173004	0.159354
	151	4.248085	1.491763	0.256493	0.275833	0.261902	0.205772	14	3182	0.150117	0.130920	0.171622	0.203952	0.162599	0.180790
	152	2.791597	1.583861	0.239778	0.262996	0.293657	0.203569	14	3906	0.159220	0.148856	0.144111	0.204525	0.160542	0.182746
	153	3.300313	0.967814	0.267763	0.216934	0.277721	0.237583	14	3500	0.179324	0.180125	0.156298	0.156209	0.170436	0.157608
	154	4.334410	1.126610	0.257750	0.237093	0.253471	0.251686	12	4240	0.181340	0.170210	0.154141	0.171788	0.150815	0.171706
	155	9.075755	2.840476	0.234117	0.260033	0.289077	0.216773	17	1562	0.195421	0.159889	0.140034	0.153280	0.152965	0.198410
	156	5.631726	0.936734	0.244043	0.283958	0.213655	0.258343	15	4294	0.139466	0.143138	0.190843	0.192592	0.177868	0.156093
	157	6.270513	0.971039	0.257452	0.237785	0.261303	0.243459	9	1760	0.165730	0.172550	0.173140	0.160331	0.170293	0.157956
	158	0.429204	0.840784	0.251291	0.278883	0.234900	0.234926	8	2818	0.165233	0.149339	0.185353	0.169552	0.166728	0.163796
	159	6.656568	0.527111	0.227224	0.269320	0.225384	0.278072	5	4746	0.160886	0.176239	0.172957	0.159324	0.161586	0.169008
	160	2.271807	1.779283	0.216428	0.285881	0.238878	0.258812	20	736	0.178217	0.201344	0.162827	0.160902	0.157300	0.139411
	161	9.763404	0.214710	0.263371	0.250126	0.269162	0.217341	4	130	0.178969	0.163856	0.180387	0.156540	0.168891	0.151358
	162	8.016646	1.357070	0.245972	0.235741	0.280622	0.237665	10	198	0.143694	0.156656	0.178425	0.176378	0.178445	0.166402
	163	9.412967	1.040731	0.281230	0.204002	0.249876	0.264892	14	2192	0.139570	0.207184	0.158386	0.138226	0.152453	0.204182
	164	13.031132	1.119287	0.284952	0.245319	0.260100	0.209628	10	3122	0.162338	0.175467	0.172440	0.137264	0.166477	0.186014
	165	5.785282	0.909562	0.265626	0.236138	0.270029	0.228206	11	830	0.174295	0.168170	0.183974	0.179417	0.140504	0.153640
	166	1.264362	1.505744	0.290361	0.232892	0.244942	0.231805	20	4654	0.170750	0.144694	0.183597	0.177204	0.160528	0.163228
	167	1.710315	1.179758	0.222646	0.272895	0.253190	0.251269	9	3576	0.188812	0.174296	0.176012	0.170737	0.161234	0.128910
	168	1.849092	0.243087	0.272609	0.262153	0.253503	0.211735	5	1382	0.156281	0.203032	0.186930	0.148956	0.148610	0.156191
	169	2.056024	0.725139	0.290829	0.230584	0.239878	0.238709	8	3370	0.189102	0.193398	0.150349	0.135032	0.159273	0.172846
	170	3.779792	1.624936	0.265283	0.276700	0.241266	0.216752	16	3044	0.157510	0.177868	0.164384	0.163384	0.167596	0.169258
	171	7.861212	0.811388	0.254321	0.265059	0.259167	0.221452	11	1004	0.163593	0.194148	0.181574	0.139861	0.162510	0.158315
	172	7.892700	1.804361	0.201322	0.281868	0.264678	0.252132	14	3048	0.159753	0.157206	0.186046	0.161603	0.169777	0.165615
	173	3.435603	1.724869	0.241078	0.251177	0.256569	0.251176	20	1284	0.152890	0.175095	0.158410	0.181665	0.182108	0.149833
	174	5.318052	0.524662	0.220631	0.245347	0.235950	0.298072	7	1686	0.155842	0.147524	0.161993	0.171933	0.175310	0.187397
	175	8.708329	1.215873	0.232524	0.269133	0.231079	0.267264	10	4200	0.146840	0.186949	0.170394	0.176682	0.178236	0.140899
	176	2.280207	0.491440	0.258975	0.233093	0.247931	0.260001	6	2102	0.167198	0.187377	0.163525	0.155062	0.149123	0.177715
	177	8.833151	0.157269	0.217405	0.258851	0.249317	0.274427	4	1672	0.159618	0.139197	0.155510	0.204323	0.167410	0.173943
	178	8.037000	1.999155	0.247467	0.228981	0.249137	0.274415	18	3024	0.176087	0.213824	0.177033	0.164632	0.148790	0.119634
	179	2.191916	2.323118	0.250992	0.286759	0.237765	0.224484	16	4830	0.206709	0.147794	0.168991	0.147389	0.170363	0.158753
	180	10.491523	0.475654	0.255084	0.259913	0.225649	0.259354	6	3682	0.186674	0.143477	0.158036	0.187429	0.150222	0.174162
	181	2.408248	0.459664	0.280688	0.229411	0.245731	0.244169	4	2400	0.176314	0.163886	0.158828	0.166710	0.162641	0.171621
	182	2.672163	1.454553	0.248362	0.223753	0.263451	0.264434	15	448	0.180394	0.147892	0.170838	0.158471	0.173603	0.168801
	183	6.965676	0.741254	0.266923	0.251330	0.238948	0.242800	10	3584	0.184821	0.140622	0.168482	0.187423	0.159456	0.159195
	184	4.470001	1.381703	0.232955	0.268870	0.252624	0.245552	14	1854	0.158596	0.160129	0.162091	0.188016	0.164201	0.166968
	185	8.421425	0.732923	0.242733	0.223408	0.240599	0.293259	7	4512	0.170971	0.169842	0.150147	0.160225	0.167363	0.181450
	186	6.990495	2.701729	0.276584	0.256870	0.241268	0.225278	17	998	0.164102	0.166287	0.175143	0.144324	0.189252	0.160891
	187	8.061510	0.430676	0.258751	0.244034	0.221785	0.275430	6	764	0.186019	0.149921	0.155321	0.183148	0.136012	0.189580
	188	4.433666	2.270966	0.223241	0.254625	0.249912	0.272222	18	1932	0.181943	0.173396	0.176563	0.151865	0.156624	0.159609
	189	0.683774	1.951065	0.250184	0.229695	0.270947	0.249174	18	1400	0.164726	0.181218	0.182511	0.158877	0.149083	0.163586
	190	12.468937	0.389771	0.293922	0.252286	0.214297	0.239495	5	2876	0.186595	0.151340	0.165107	0.154022	0.161720	0.181217
	191	11.297120	0.759726	0.244705	0.244294	0.272784	0.238217	10	2956	0.140063	0.185889	0.213433	0.151904	0.145107	0.163605
	192	4.051110	0.535306	0.215873	0.240397	0.293800	0.249930	11	3638	0.150648	0.152080	0.167382	0.163893	0.202555	0.163441
	193	6.814331	0.206044	0.224975	0.277741	0.252380	0.244904	5	3418	0.157413	0.182349	0.146243	0.184569	0.175666	0.153759
	194	14.456155	1.405094	0.246633	0.259582	0.239225	0.254560	17	1856	0.142824	0.178288	0.191050	0.168337	0.155253	0.164249
	195	3.036363	1.215459	0.248791	0.258497	0.236436	0.256276	8	1330	0.162601	0.174272	0.177648	0.144961	0.177077	0.163442
	196	0.520835	2.230584	0.280395	0.281349	0.236917	0.201338	12	898	0.199024	0.178813	0.151836	0.166359	0.153671	0.150298
	197	1.449187	0.368637	0.248620	0.239951	0.254804	0.256626	5	4756	0.166472	0.199360	0.174106	0.184520	0.134524	0.141019
	198	3.007130	1.597600	0.306445	0.234257	0.223271	0.236027	12	4064	0.148833	0.174128	0.173496	0.176345	0.163482	0.163715
	199	1.536504	0.757182	0.246225	0.237403	0.241573	0.274799	7	2442	0.156197	0.168528	0.192144	0.163270	0.176224	0.143637
